countrybyYear,name,code,Year,pop
ABW1995,ARUBA,ABW,1995,37.0
ABW1996,ARUBA,ABW,1996,10.0
ABW1999,ARUBA,ABW,1999,130.0
ABW2000,ARUBA,ABW,2000,76.0
ABW2001,ARUBA,ABW,2001,0.0
ABW2002,ARUBA,ABW,2002,25.0
ABW2004,ARUBA,ABW,2004,173.0
ABW2005,ARUBA,ABW,2005,0.0
ABW2006,ARUBA,ABW,2006,5.0
ABW2007,ARUBA,ABW,2007,0.0
ABW2008,ARUBA,ABW,2008,0.0
ABW2009,ARUBA,ABW,2009,845.0
ABW2010,ARUBA,ABW,2010,1415.0
ABW2011,ARUBA,ABW,2011,3027.0
ABW2012,ARUBA,ABW,2012,0.0
ABW2013,ARUBA,ABW,2013,528.0
ABW2014,ARUBA,ABW,2014,49.0
ABW2016,ARUBA,ABW,2016,51.0
ABW2017,ARUBA,ABW,2017,0.0
ABW2018,ARUBA,ABW,2018,9.0
ABW2019,ARUBA,ABW,2019,0.0
ABW2020,ARUBA,ABW,2020,1.0
ABW2021,ARUBA,ABW,2021,0.0
ABW2022,ARUBA,ABW,2022,0.0
AFG2021,AFGHANISTAN,AFG,2021,4176.0
AIA1980,ANGUILLA,AIA,1980,0.0
AIA1981,ANGUILLA,AIA,1981,1.0
AIA1982,ANGUILLA,AIA,1982,0.0
AIA1983,ANGUILLA,AIA,1983,2.0
AIA1984,ANGUILLA,AIA,1984,0.0
AIA1985,ANGUILLA,AIA,1985,0.0
AIA1986,ANGUILLA,AIA,1986,0.0
AIA1987,ANGUILLA,AIA,1987,0.0
AIA1988,ANGUILLA,AIA,1988,0.0
AIA1989,ANGUILLA,AIA,1989,0.0
AIA1990,ANGUILLA,AIA,1990,12.0
AIA1991,ANGUILLA,AIA,1991,0.0
AIA1992,ANGUILLA,AIA,1992,0.0
AIA1995,ANGUILLA,AIA,1995,4.0
AIA1996,ANGUILLA,AIA,1996,1.0
AIA1997,ANGUILLA,AIA,1997,0.0
AIA1998,ANGUILLA,AIA,1998,0.0
AIA1999,ANGUILLA,AIA,1999,12.0
AIA2000,ANGUILLA,AIA,2000,3.0
